,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
69900970,Centro,69900970,Rio Branco,,Avenida Epaminondas Jácome 2858,AC,[]
69945000,,69945000,Acrelândia,,,AC,[]
69901024,Conjunto Jardim São Francisco,69901024,Rio Branco,,Rua Laranja,AC,[]
69850000,,69850000,Boca do Acre,,,AM,[]
69930000,,69930000,Xapuri,,,AC,[]
69925000,,69925000,Senador Guiomard,,,AC,[]
69983000,,69983000,Marechal Thaumaturgo,,,AC,[]
69934000,,69934000,Epitaciolândia,,,AC,[]
69870000,,69870000,Envira,,,AM,[]
69950000,,69950000,Manoel Urbano,,,AC,[]
69900001,Base,69900001,Rio Branco,,Beco Estado do Acre,AC,[]
69902470,Eldorado,69902470,Rio Branco,,Rua 7 de Setembro,AC,[]
69901248,Jardim Tropical,69901248,Rio Branco,,Rua da Dama da Noite,AC,[]
69912078,João Paulo,69912078,Rio Branco,(Residencial Cabreúva),Rua Servia,AC,[]
69907786,Belo Jardim I,69907786,Rio Branco,,Rua Tarauacá,AC,[]
69923899,Área Rural de Rio Branco,69923899,Rio Branco,,Área Rural,AC,[]
76850000,,76850000,Guajará-Mirim,,,RO,[]
69915156,Conjunto Esperança,69915156,Rio Branco,- de 601/602 ao fim,Rua Cruzeiro do Sul,AC,[]
69900412,Bosque,69900412,Rio Branco,,Travessa Alagoas I,AC,[]
69921527,Montanhês,69921527,Rio Branco,,Travessa Vasco da Gama,AC,[]
69970000,,69970000,Tarauacá,,,AC,[]
57680000,,57680000,Boca da Mata,,,AL,[]
57010726,Trapiche da Barra,57010726,Maceió,- de 376/377 ao fim,Rua Professor Luiz Carlos de Souza Neto,AL,[]
57305720,Zélia Barbosa Rocha,57305720,Arapiraca,,Rua Doralice Fernandes dos Santos,AL,[]
57515000,,57515000,Senador Rui Palmeira,,,AL,[]
57800000,,57800000,União dos Palmares,,,AL,[]
57100000,,57100000,Rio Largo,,,AL,[]
57340000,,57340000,Feira Grande,,,AL,[]
57073026,Cidade Universitária,57073026,Maceió,(06 - Cj Village Campestre I),Rua Leonor Lopes Pimentel,AL,[]
57010030,Prado,57010030,Maceió,,Rua Almirante Tamandaré,AL,[]
57570000,,57570000,Cacimbinhas,,,AL,[]
57930000,,57930000,Passo de Camaragibe,,,AL,[]
57084078,Benedito Bentes,57084078,Maceió,,Rua Boa Vista,AL,[]
57500000,,57500000,Santana do Ipanema,,,AL,[]
57309215,Bom Sucesso,57309215,Arapiraca,,Rua Ambrózio de Lima,AL,[]
57545000,,57545000,Inhapi,,,AL,[]
57010782,Trapiche da Barra,57010782,Maceió,(Cj Virgem dos Pobres II),Rua José Enéas Filho,AL,[]
57260000,,57260000,Limoeiro de Anadia,,,AL,[]
57130000,,57130000,Santa Luzia do Norte,,,AL,[]
57475000,,57475000,Pariconha,,,AL,[]
57410000,,57410000,Palestina,,,AL,[]
57040795,Jacintinho,57040795,Maceió,(Com São Rafael),Rua Sara Vitória,AL,[]
57081035,Tabuleiro do Martins,57081035,Maceió,,Rua Tenente Áureo de Azevedo,AL,[]
57860000,,57860000,São José da Laje,,,AL,[]
57535000,,57535000,Carneiros,,,AL,[]
57071874,Clima Bom,57071874,Maceió,,Rua Jordânia,AL,[]
57600970,Centro,57600970,Palmeira dos Índios,,Rua Duque de Caxias 181,AL,[]
57086044,,,,,,,[]
57071856,Clima Bom,57071856,Maceió,,Rua Suécia,AL,[]
57045480,Barro Duro,57045480,Maceió,,Rua Dom Adelmo Machado,AL,[]
57935000,,57935000,Paripueira,,,AL,[]
57075695,Santos Dumont,57075695,Maceió,,Rua da Paz,AL,[]
57275000,,57275000,São Sebastião,,,AL,[]
57300060,Centro,57300060,Arapiraca,,Rua Esperidião Rodrigues,AL,[]
57690000,,57690000,Atalaia,,,AL,[]
57025040,Poço,57025040,Maceió,- até 451/452,Avenida Professor Santos Ferraz,AL,[]
