,lat,lng,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
60730265,-3.7901779,-38.5839162,Parque São José,60730265,Fortaleza,- de 1350/1351 ao fim,Rua Antônio Costa Mendes,CE,[]
53605000,,,Campina de Feira,53605000,Igarassu,"- do km 39,010 ao km 40,004 - lado par",Avenida Alfredo Bandeira de Melo,PE,[]
18700970,,,,,,,,,[]
27267112,-22.5317162,-44.1268328,Duzentos e Quarenta e Nove,27267112,Volta Redonda,- de 760 a 830 - lado par,Avenida Europa,RJ,[]
23076380,-22.8777327,-43.5763266,Campo Grande,23076380,Rio de Janeiro,,Rua Taufik Dib,RJ,[]
83255971,-25.5760313,-48.3583312,Pontal do Sul,83255971,Pontal do Paraná,,Rua Pau Brasil s/n,PR,[]
90160090,-30.0474634,-51.2147429,Praia de Belas,90160090,Porto Alegre,- até 1074 - lado par,Avenida Ipiranga,RS,[]
63520970,-6.2409265,-38.9134849,Centro,63520970,Orós,,Rua José Matos Leite 121,CE,[]
78550000,,,,,,,,,[]
53630617,-8.0397416,-34.8937494,Santo Antônio,53630617,Igarassu,(Lot Sto Antônio),Rua Amapá,PE,[]
72025220,-15.8548889,-48.0426765,Taguatinga Sul (Taguatinga),72025220,Brasília,,QSE 22,DF,[]
45110000,,,,45110000,Inhobim (Vitória da Conquista),,,BA,[]
88058535,-27.4307778,-48.4008614,Ingleses do Rio Vermelho,88058535,Florianópolis,,Rua Osvaldo Rogério Braga,SC,[]
11320001,-23.6037023,-46.5820775,Itararé,11320001,São Vicente,- lado ímpar,Avenida Presidente Wilson,SP,[]
35057510,-18.8401504,-41.9631521,Morada do Vale,35057510,Governador Valadares,,Rua Manoel Cordeiro da Silva,MG,[]
69038060,-3.138074,-59.9931702,Lírio do Vale,69038060,Manaus,,Rua Gregório Dias,AM,[]
36050570,-21.7296069,-43.3426426,Marumbi,36050570,Juiz de Fora,,Rua Aleixo Martins Neto,MG,[]
13206105,-23.2168034,-46.874783,Vila Mafalda,13206105,Jundiaí,- de 951/952 ao fim,Avenida Quatorze de Dezembro,SP,[]
15800100,-23.4253358,-46.5859083,Centro,15800100,Catanduva,- até 929/930,Rua Sergipe,SP,[]
36052250,,,Grajaú,36052250,Juiz de Fora,,Rua Izabel Pierre Feital,MG,[]
55410000,,,,55410000,São Benedito do Sul,,,PE,[]
29172020,-20.1369455,-40.3157312,Feu Rosa,29172020,Serra,,Rua das Gardênias,ES,[]
07122220,-23.4507763,-46.5183981,Jardim Bom Clima,07122220,Guarulhos,,Rua Professor Vasco de Queiroz Guimarães,SP,[]
29309080,,,Novo Parque,29309080,Cachoeiro de Itapemirim,,Escadaria Darcy Marcelino Câmara,ES,[]
92030000,,,,,,,,,[]
77700970,-10.1741451,-48.8847249,Setor Central,77700970,Guaraí,,Avenida Bernardo Sayão 1854,TO,[]
12701160,-23.1531553,-47.7424729,Vila Paulista,12701160,Cruzeiro,,Rua Primeiro de Maio,SP,[]
77848000,,,,77848000,Santa Fé do Araguaia,,,TO,[]
61652390,-3.7713829,-38.6208006,Marechal Rondon (Jurema),61652390,Caucaia,,Avenida Nova Alvorada,CE,[]
69089053,,,Armando Mendes,69089053,Manaus,,Rua Moises Menezes Evangelista,AM,[]
35514000,,,,,,,,,[]
36906000,,,,,,,,,[]
88110606,-28.5912236,-49.3296451,Nossa Senhora do Rosário,88110606,São José,,Rua São Jorge,SC,[]
88040100,-27.608149,-48.522688,Pantanal,88040100,Florianópolis,,Servidão Corintians,SC,[]
52280441,-8.0243559,-34.932299,Vasco da Gama,52280441,Recife,,Travessa Alto Nossa Senhora de Fátima,PE,[]
32042000,-19.9079465,-44.0836235,São Gonçalo,32042000,Contagem,,Rua Benedito José das Neves,MG,[]
69088480,-3.0268815,-59.927967,Jorge Teixeira,69088480,Manaus,- de 2947/2948 ao fim,Avenida Brigadeiro Hilário Gurjão,AM,[]
38420000,,,,,,,,,[]
27214010,-22.7640005,-43.4897219,Santo Agostinho,27214010,Volta Redonda,,Rua Alvorada,RJ,[]
88302040,-26.9139652,-48.6644781,Centro,88302040,Itajaí,,Rua Juvenal Garcia,SC,[]
29315702,-20.856921,-41.1534011,Jardim Itapemirim,29315702,Cachoeiro de Itapemirim,,Rua Jorge Luiz da Silva,ES,[]
31360020,-19.8698221,-44.0070614,Santa Terezinha,31360020,Belo Horizonte,,Rua Congonhal,MG,[]
69314348,2.815609,-60.7432839,Doutor Sílvio Leite,69314348,Boa Vista,,Rua Murilo Teixeira Cidade,RR,[]
69400000,,,,,,,,,[]
60742105,-3.7850857,-38.5450018,Serrinha,60742105,Fortaleza,- até 1928/1929,Rua Professora Heloísa Ferreira Lima,CE,[]
77061970,-10.1618183,-48.3255948,Plano Diretor Expansão Sul,77061970,Palmas,,Avenida Joaquim Teotônio Segurado s/n Loja 2,TO,[]
03164150,-23.5477706,-46.6050987,Mooca,03164150,São Paulo,,Rua Guarapuava,SP,[]
87055680,-23.4524103,-51.8994604,Conjunto João de Barro Porto Seguro II,87055680,Maringá,,Rua Pioneiro Antônio Batista,PR,[]
49072020,-10.8945764,-37.0747083,Dezoito do Forte,49072020,Aracaju,,Rua Antônio Teodoro,SE,[]
49990000,,,,49990000,Ilha das Flores,,,SE,[]
87043420,-23.3961436,-51.8967162,Conjunto Residencial Paulino Carlos Filho,87043420,Maringá,,Rua Rio Tocantins,PR,[]
37704234,-19.9058495,-43.9531973,São José,37704234,Poços de Caldas,,Rua Mariana,MG,[]
74683610,,,Jardim Guanabara II,74683610,Goiânia,,Rua GB21,GO,[]
29200185,-20.6705849,-40.4968485260011,Centro,29200185,Guarapari,,Praça Irineu José Vicente,ES,[]
69025020,-3.1218147,-60.0185267,Centro,69025020,Manaus,- até 1099/1100,Rua Japurá,AM,[]
75670970,-17.7389262,-48.6243759,Setor Central,75670970,Marzagão,,Avenida Orcalino Santos 110,GO,[]
69088147,-3.0273596,-59.9183916,Jorge Teixeira,69088147,Manaus,,Rua Cipó Alho,AM,[]
61948450,-3.828188,-38.550307,Santos Dumont,61948450,Maranguape,(Cj Res Iracema),Rua A,CE,[]
58184000,,,,58184000,Nova Palmeira,,,PB,[]
54530260,-7.9334989,-34.8558028,São Francisco,54530260,Cabo de Santo Agostinho,,Rua Vinte e Cinco,PE,[]
17602505,-22.7087922,-47.6433375,Jardim Santo Antônio,17602505,Tupã,,Avenida Centenário,SP,[]
44065082,-12.2320429,-38.9412802,Conceição,44065082,Feira de Santana,,Rua Morretes,BA,[]
63630970,-5.7436298,-39.6283467,Centro,63630970,Pedra Branca,,Rua Augusto Vieira Torres 12,CE,[]
18040630,,,Jardim Paulistano,18040630,Sorocaba,,Rua Fernanda Albertini Evaso,SP,[]
24731170,-22.8202719,-42.9880262,Miriambi,24731170,São Gonçalo,,Rua Nelson Nobre,RJ,[]
25930000,,,,,,,,,[]
89255010,-26.4758909,-49.0796367,Czerniewicz,89255010,Jaraguá do Sul,,Rua João Doubrawa,SC,[]
17509180,-22.2090687,-49.9388341,Marília,17509180,Marília,- até 470/471,Avenida Vicente Ferreira,SP,[]
12321130,-22.7256528,-47.3678756,Jardim Siesta,12321130,Jacareí,,Rua Hungria,SP,[]
90480200,-30.0260163,-51.183657,Boa Vista,90480200,Porto Alegre,- de 1240 ao fim - lado par,Rua Anita Garibaldi,RS,[]
09230531,-22.9087291,-47.0982864,Vila Camilópolis,09230531,Santo André,- de 811/812 ao fim,Rua Sud Menucci,SP,[]
06150560,-23.5639683,-46.8132008,Metalúrgicos,06150560,Osasco,,Rua Firmino Martins,SP,[]
08280140,-23.561208,-46.4760018,Cidade Líder,08280140,São Paulo,,Rua Fernandes Tenório,SP,[]
14781049,-20.5295372,-48.5657806,Dom João Bosco,14781049,Barretos,,Rua Didi Pianni,SP,[]
02322260,-23.447754,-46.5986093,Parque Casa de Pedra,02322260,São Paulo,,Rua Samanguaia,SP,[]
06826420,-23.3623126,-46.5604301,Jardim Vazame,06826420,Embu das Artes,,Rua dos Canários,SP,[]
39417000,,,,,,,,,[]
07400000,,,,,,,,,[]
68015020,-1.2813876,-47.9169046,Santana,68015020,Santarém,- até 320/321,Rua Itamarati,PA,[]
72120050,-15.8167924,-48.0610863,Taguatinga Norte (Taguatinga),72120050,Brasília,,QND 5,DF,[]
35162076,-19.9203187,-43.9660354,Iguaçu,35162076,Ipatinga,,Rua Jade,MG,[]
92130710,-28.27777,-52.7883106,Niterói,92130710,Canoas,,Rua Buenos Aires,RS,[]
56319620,,,Antônio Cassimiro,56319620,Petrolina,(Vl do Grande Rio),Rua José Noberto dos Santos,PE,[]
58305270,,,São Bento,58305270,Bayeux,,Rua Alexandrino de Santana,PB,[]
60347365,-3.7115926,-38.5915011,Vila Velha,60347365,Fortaleza,,Rua Coronel Abelardo Rodrigues,CE,[]
33120440,-19.7948256,-43.9373543,Asteca (São Benedito),33120440,Santa Luzia,,Rua Pirajá,MG,[]
38408216,,,Santa Mônica,38408216,Uberlândia,,Avenida Professora Juvenília dos Santos,MG,[]
89203540,-26.445982,-48.6284436,Anita Garibaldi,89203540,Joinville,,Rua Alagoas,SC,[]
13031250,-23.5112403,-46.85609,Fundação da Casa Popular,13031250,Campinas,,Rua Maranhão,SP,[]
