,lat,lng
69900970,-9.9708124,-67.7911552
69945000,,
69901024,-9.96467,-67.799725
69850000,,
69930000,,
69925000,,
69983000,,
69934000,,
69870000,,
69950000,,
69900001,,
69902470,-9.9758504,-67.8299029
69901248,,
69912078,-3.1427146,-59.9975243
69907786,-9.99978,-67.7846349
69923899,-28.4783155,-52.1962953556395
76850000,,
69915156,-9.9789601,-67.8111416
69900412,-9.9673891,-67.8153205
69921527,-9.925866,-67.8369696
69970000,,
57680000,,
57010726,-9.6656154,-35.7551051
57305720,-9.7482587,-36.6731388
57515000,,
57800000,,
57100000,,
57340000,,
57073026,,
57010030,-9.6705939,-35.7480911
57570000,,
57930000,,
57084078,-9.1628156,-36.0336914
57500000,,
57309215,,
57545000,,
57010782,-9.6716895,-35.763802
57260000,,
57130000,,
57475000,,
57410000,,
57040795,,
57081035,,
57860000,,
57535000,,
57071874,,
57600970,,
57086044,,
57071856,,
57045480,,
57935000,,
57075695,,
57275000,,
57300060,,
57690000,,
57025040,,
57700000,,
57303240,,
57440000,,
57490000,,
57018445,,
57062425,,
57140000,,
57740000,,
57230000,,
57360000,,
57082095,,
57017020,,
57150000,,
57084004,,
57312252,,
57600050,,
57017400,,
69921557,,
57081075,,
57302723,,
57081192,,
57041280,,
57040510,,
57082120,,
57025460,,
57083130,,
57300970,,
57330000,,
57265000,,
57055000,,
57830000,,
57063250,,
57073130,,
57445000,,
57480000,,
57084048,,
57980000,,
57307650,,
57071776,,
57310230,,
57085160,,
57050080,,
57084040,,
57620000,,
57071120,,
57010615,,
57460000,,
57990000,,
57925000,,
57301060,,
57017180,,
57968000,,
57311210,,
57025880,,
57615000,,
57307490,,
57040500,,
57314150,,
57325000,,
57442000,,
57071593,,
57084800,,
57041204,,
57022010,,
57010230,,
57970000,,
57015030,,
57580000,,
57010170,,
57910000,,
57035230,,
57820000,,
57048156,,
57160000,,
57025679,,
57608400,,
57044226,,
57040045,,
57040050,,
69095000,,
69057000,,
69040010,,
69099000,,
69047220,,
69057010,,
69078300,,
69087640,,
69084260,,
69074570,,
69086110,,
69099029,,
69050000,,
69087682,,
69049010,,
69082422,,
69046650,,
69099630,,
69400970,,
69086635,,
69059050,,
69085630,,
69038000,,
69086412,,
69067001,,
69067000,,
69090000,,
69027690,,
69097720,,
69082070,,
69093163,,
69039125,,
69230000,,
69050001,,
69151690,,
69033812,,
69036550,,
69037573,,
69036580,,
69055660,,
69087678,,
69067050,,
69073650,,
69020000,,
69029321,,
69089150,,
69090746,,
69028071,,
69035000,,
69063091,,
69630000,,
69029300,,
69055000,,
69088000,,
69087131,,
69400619,,
69086560,,
69033830,,
69053160,,
69030730,,
68270000,,
69021020,,
69038285,,
69099311,,
69077757,,
69085000,,
69080000,,
69097500,,
69094130,,
69073124,,
69088501,,
69084170,,
69048381,,
69005110,,
69054723,,
69059070,,
69041185,,
69280000,,
69036723,,
69054754,,
69076460,,
69087057,,
69099113,,
69093015,,
69037000,,
69075323,,
69040000,,
69037810,,
69099318,,
69890000,,
69043690,,
69085180,,
69010080,,
69084390,,
69070640,,
68940000,,
68909620,,
68909835,,
68909000,,
68903384,,
68908570,,
68906120,,
68900030,,
68902350,,
68909035,,
68909600,,
68906806,,
68906660,,
43820310,,
48603360,,
41510230,,
45416970,,
40340765,,
47820000,,
40420230,,
45930000,,
56380000,,
45000100,,
40060360,,
48500970,,
46400000,,
42810200,,
48903110,,
47200000,,
48420000,,
40450650,,
46470000,,
41620580,,
44600000,,
45822340,,
40050410,,
45810000,,
46165000,,
44380000,,
46770970,,
47520970,,
45300970,,
44092692,,
45602020,,
48603210,,
44420000,,
45603110,,
44520970,,
46820970,,
44640970,,
41280015,,
40715390,,
46770000,,
48870000,,
47100970,,
56800970,,
41100186,,
